"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 26 08:08:00 GMT 2024","Tue Mar 26 08:08:01 GMT 2024","313","","Страница Timeline","","","","Отображение списка интервалов на странице ""Timeline""",""
"passed","Tue Mar 26 08:07:57 GMT 2024","Tue Mar 26 08:07:58 GMT 2024","655","","Меню навигации","","","","Меню навигации должно иметь 3 пункта: Timeline, Activities, Progress",""
"passed","Tue Mar 26 08:07:58 GMT 2024","Tue Mar 26 08:07:59 GMT 2024","465","","Меню навигации","","","","Навигация по пунктам меню",""
"passed","Tue Mar 26 08:07:59 GMT 2024","Tue Mar 26 08:07:59 GMT 2024","168","","Меню навигации","","","","Переход на страницу Timeline когда hash некорректен",""
"passed","Tue Mar 26 08:08:01 GMT 2024","Tue Mar 26 08:08:01 GMT 2024","175","","Страница Timeline","","","","Выбор активности в текущем интервале",""
"passed","Tue Mar 26 08:07:58 GMT 2024","Tue Mar 26 08:07:58 GMT 2024","344","","Меню навигации","","","","Navigation items should have icons",""
