"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 27 08:09:39 GMT 2024","Wed Mar 27 08:09:39 GMT 2024","511","","Страница Timeline","","","","Отображение списка интервалов на странице ""Timeline""",""
"passed","Wed Mar 27 08:09:36 GMT 2024","Wed Mar 27 08:09:36 GMT 2024","513","","Header","","","","При клике на progress должен быть выполнен переход на стрнаицу progress",""
"passed","Wed Mar 27 08:09:33 GMT 2024","Wed Mar 27 08:09:34 GMT 2024","273","","Элемент активности на странице ""Activities""","","","","Отображение элемента ""Activity"" c указанием времени",""
"passed","Wed Mar 27 08:09:31 GMT 2024","Wed Mar 27 08:09:32 GMT 2024","605","","Работа с активностями","","","","Удаление всех активностей",""
"passed","Wed Mar 27 08:09:35 GMT 2024","Wed Mar 27 08:09:36 GMT 2024","521","","Header","","","","При клике на logo должен быть выполнен переход на страницу timeline",""
"passed","Wed Mar 27 08:09:35 GMT 2024","Wed Mar 27 08:09:35 GMT 2024","518","","Форма добавления активности","","","","Добавление активности",""
"passed","Wed Mar 27 08:09:34 GMT 2024","Wed Mar 27 08:09:35 GMT 2024","456","","Форма добавления активности","","","","Кнопка ""Add an activity"" доступна после заполнения поля",""
"passed","Wed Mar 27 08:09:33 GMT 2024","Wed Mar 27 08:09:33 GMT 2024","380","","Элемент активности на странице ""Activities""","","","","Отображение элемента ""Activity"" без указания времени",""
"passed","Wed Mar 27 08:09:37 GMT 2024","Wed Mar 27 08:09:37 GMT 2024","296","","Меню навигации","","","","Пункты меню должны иметь иконки",""
"passed","Wed Mar 27 08:09:34 GMT 2024","Wed Mar 27 08:09:34 GMT 2024","436","","Форма добавления активности","","","","Отображение формы добавления активности",""
"passed","Wed Mar 27 08:09:29 GMT 2024","Wed Mar 27 08:09:33 GMT 2024","3702","","Работа с активностями","","","","Сброс активности в интервале на странице ""Timeline"" после удалении активности",""
"passed","Wed Mar 27 08:09:38 GMT 2024","Wed Mar 27 08:09:39 GMT 2024","473","","Меню навигации","","","","Переход на страницу Timeline когда hash некорректен",""
"passed","Wed Mar 27 08:09:38 GMT 2024","Wed Mar 27 08:09:38 GMT 2024","745","","Меню навигации","","","","Навигация по пунктам меню",""
"passed","Wed Mar 27 08:09:39 GMT 2024","Wed Mar 27 08:09:40 GMT 2024","572","","Страница Timeline","","","","Выбор активности в текущем интервале",""
"passed","Wed Mar 27 08:09:32 GMT 2024","Wed Mar 27 08:09:33 GMT 2024","695","","Работа с активностями","","","","Отображение активности в выпадающем списке временного интервала после добавления",""
"passed","Wed Mar 27 08:09:36 GMT 2024","Wed Mar 27 08:09:37 GMT 2024","443","","Меню навигации","","","","Меню навигации должно иметь 3 пункта: Timeline, Activities, Progress",""
