"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Страница Timeline","","0","0","2","0","0"
"","Header","","0","0","2","0","0"
"","Элемент активности на странице ""Activities""","","0","0","2","0","0"
"","Работа с активностями","","0","0","3","0","0"
"","Форма добавления активности","","0","0","3","0","0"
"","Меню навигации","","0","0","4","0","0"
