"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 27 08:01:50 GMT 2024","Wed Mar 27 08:01:51 GMT 2024","412","","Форма добавления активности","","","","Отображение формы добавления активности",""
"passed","Wed Mar 27 08:01:49 GMT 2024","Wed Mar 27 08:01:49 GMT 2024","348","","Элемент активности на странице ""Activities""","","","","Отображение элемента ""Activity"" без указания времени",""
"passed","Wed Mar 27 08:01:54 GMT 2024","Wed Mar 27 08:01:55 GMT 2024","750","","Меню навигации","","","","Навигация по пунктам меню",""
"passed","Wed Mar 27 08:01:48 GMT 2024","Wed Mar 27 08:01:49 GMT 2024","706","","Работа с активностями","","","","Отображение активности в выпадающем списке временного интервала после добавления",""
"passed","Wed Mar 27 08:01:55 GMT 2024","Wed Mar 27 08:01:56 GMT 2024","525","","Страница Timeline","","","","Отображение списка интервалов на странице ""Timeline""",""
"passed","Wed Mar 27 08:01:45 GMT 2024","Wed Mar 27 08:01:49 GMT 2024","3811","","Работа с активностями","","","","Сброс активности в интервале на странице ""Timeline"" после удалении активности",""
"passed","Wed Mar 27 08:01:50 GMT 2024","Wed Mar 27 08:01:50 GMT 2024","297","","Элемент активности на странице ""Activities""","","","","Отображение элемента ""Activity"" c указанием времени",""
"passed","Wed Mar 27 08:01:48 GMT 2024","Wed Mar 27 08:01:48 GMT 2024","578","","Работа с активностями","","","","Удаление всех активностей",""
"passed","Wed Mar 27 08:01:56 GMT 2024","Wed Mar 27 08:01:56 GMT 2024","580","","Страница Timeline","","","","Выбор активности в текущем интервале",""
"passed","Wed Mar 27 08:01:55 GMT 2024","Wed Mar 27 08:01:55 GMT 2024","478","","Меню навигации","","","","Переход на страницу Timeline когда hash некорректен",""
"passed","Wed Mar 27 08:01:53 GMT 2024","Wed Mar 27 08:01:53 GMT 2024","295","","Меню навигации","","","","Пункты меню должны иметь иконки",""
"passed","Wed Mar 27 08:01:51 GMT 2024","Wed Mar 27 08:01:52 GMT 2024","510","","Форма добавления активности","","","","Добавление активности",""
"passed","Wed Mar 27 08:01:52 GMT 2024","Wed Mar 27 08:01:53 GMT 2024","536","","Header","","","","При клике на progress должен быть выполнен переход на стрнаицу progress",""
"passed","Wed Mar 27 08:01:53 GMT 2024","Wed Mar 27 08:01:53 GMT 2024","457","","Меню навигации","","","","Меню навигации должно иметь 3 пункта: Timeline, Activities, Progress",""
"passed","Wed Mar 27 08:01:52 GMT 2024","Wed Mar 27 08:01:52 GMT 2024","536","","Header","","","","При клике на logo должен быть выполнен переход на страницу timeline",""
"passed","Wed Mar 27 08:01:51 GMT 2024","Wed Mar 27 08:01:51 GMT 2024","439","","Форма добавления активности","","","","Кнопка ""Add an activity"" доступна после заполнения поля",""
