"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 26 14:02:36 GMT 2024","Tue Mar 26 14:02:37 GMT 2024","665","","Меню навигации","","","","Пункты меню должны иметь иконки",""
"passed","Tue Mar 26 14:02:38 GMT 2024","Tue Mar 26 14:02:38 GMT 2024","423","","Меню навигации","","","","Переход на страницу Timeline когда hash некорректен",""
"passed","Tue Mar 26 14:02:28 GMT 2024","Tue Mar 26 14:02:28 GMT 2024","749","","Работа с активностями","","","","Удаление всех активностей",""
"passed","Tue Mar 26 14:02:40 GMT 2024","Tue Mar 26 14:02:40 GMT 2024","519","","Страница Timeline","","","","Выбор активности в текущем интервале",""
"passed","Tue Mar 26 14:02:34 GMT 2024","Tue Mar 26 14:02:35 GMT 2024","480","","Header","","","","При клике на progress должен быть выполнен переход на стрнаицу progress",""
"passed","Tue Mar 26 14:02:29 GMT 2024","Tue Mar 26 14:02:30 GMT 2024","617","","Элемент активности на странице ""Activities""","","","","Отображение элемента ""Activity"" без указания времени",""
"passed","Tue Mar 26 14:02:36 GMT 2024","Tue Mar 26 14:02:36 GMT 2024","425","","Меню навигации","","","","Меню навигации должно иметь 3 пункта: Timeline, Activities, Progress",""
"passed","Tue Mar 26 14:02:32 GMT 2024","Tue Mar 26 14:02:33 GMT 2024","505","","Форма добавления активности","","","","Добавление активности",""
"passed","Tue Mar 26 14:02:37 GMT 2024","Tue Mar 26 14:02:38 GMT 2024","667","","Меню навигации","","","","Навигация по пунктам меню",""
"passed","Tue Mar 26 14:02:26 GMT 2024","Tue Mar 26 14:02:28 GMT 2024","1122","","Работа с активностями","","","","Сброс активности в интервале на странице ""Timeline"" после удалении активности",""
"passed","Tue Mar 26 14:02:39 GMT 2024","Tue Mar 26 14:02:40 GMT 2024","496","","Страница Timeline","","","","Отображение списка интервалов на странице ""Timeline""",""
"passed","Tue Mar 26 14:02:34 GMT 2024","Tue Mar 26 14:02:34 GMT 2024","507","","Header","","","","При клике на logo должен быть выполнен переход на страницу timeline",""
"passed","Tue Mar 26 14:02:28 GMT 2024","Tue Mar 26 14:02:29 GMT 2024","635","","Работа с активностями","","","","Отображение активности в выпадающем списке временного интервала после добавления",""
"passed","Tue Mar 26 14:02:30 GMT 2024","Tue Mar 26 14:02:30 GMT 2024","577","","Элемент активности на странице ""Activities""","","","","Отображение элемента ""Activity"" c указанием времени",""
"passed","Tue Mar 26 14:02:32 GMT 2024","Tue Mar 26 14:02:32 GMT 2024","438","","Форма добавления активности","","","","Кнопка ""Add an activity"" доступна после заполнения поля",""
"passed","Tue Mar 26 14:02:31 GMT 2024","Tue Mar 26 14:02:32 GMT 2024","437","","Форма добавления активности","","","","Отображение формы добавления активности",""
