"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 26 06:04:51 GMT 2024","Tue Mar 26 06:04:52 GMT 2024","459","","Меню навигации","","","","Навигация по пунктам меню",""
"passed","Tue Mar 26 06:04:52 GMT 2024","Tue Mar 26 06:04:52 GMT 2024","164","","Меню навигации","","","","Переход на страницу Timeline когда hash некорректен",""
"passed","Tue Mar 26 06:04:53 GMT 2024","Tue Mar 26 06:04:53 GMT 2024","319","","Страница Timeline","","","","Отображение списка интервалов на странице ""Timeline""",""
"passed","Tue Mar 26 06:04:50 GMT 2024","Tue Mar 26 06:04:51 GMT 2024","657","","Меню навигации","","","","Меню навигации должно иметь 3 пункта: Timeline, Activities, Progress",""
"passed","Tue Mar 26 06:04:53 GMT 2024","Tue Mar 26 06:04:53 GMT 2024","176","","Страница Timeline","","","","Выбор активности в текущем интервале",""
"passed","Tue Mar 26 06:04:51 GMT 2024","Tue Mar 26 06:04:51 GMT 2024","348","","Меню навигации","","","","Navigation items should have icons",""
