"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 26 08:32:02 GMT 2024","Tue Mar 26 08:32:02 GMT 2024","205","","Меню навигации","","","","Переход на страницу Timeline когда hash некорректен",""
"passed","Tue Mar 26 08:32:01 GMT 2024","Tue Mar 26 08:32:01 GMT 2024","404","","Меню навигации","","","","Пункты меню должны иметь иконки",""
"passed","Tue Mar 26 08:32:03 GMT 2024","Tue Mar 26 08:32:04 GMT 2024","203","","Страница Timeline","","","","Выбор активности в текущем интервале",""
"passed","Tue Mar 26 08:31:59 GMT 2024","Tue Mar 26 08:31:59 GMT 2024","137","","Меню навигации","","","","При клике на progress должен быть выполнен переход на стрнаицу progress",""
"passed","Tue Mar 26 08:32:03 GMT 2024","Tue Mar 26 08:32:03 GMT 2024","311","","Страница Timeline","","","","Отображение списка интервалов на странице ""Timeline""",""
"passed","Tue Mar 26 08:31:58 GMT 2024","Tue Mar 26 08:31:59 GMT 2024","1374","","Меню навигации","","","","При клике на logo должен быть выполнен переход на страницу timeline",""
"passed","Tue Mar 26 08:32:01 GMT 2024","Tue Mar 26 08:32:01 GMT 2024","227","","Меню навигации","","","","Меню навигации должно иметь 3 пункта: Timeline, Activities, Progress",""
"passed","Tue Mar 26 08:32:01 GMT 2024","Tue Mar 26 08:32:02 GMT 2024","526","","Меню навигации","","","","Навигация по пунктам меню",""
