"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Форма добавления активности","","0","0","3","0","0"
"","Меню навигации","","0","0","4","0","0"
"","Работа с активностями","","0","0","3","0","0"
"","Header","","0","0","2","0","0"
"","Страница Timeline","","0","0","2","0","0"
"","Элемент активности на странице ""Activities""","","0","0","2","0","0"
