"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 03 16:28:05 GMT 2024","Wed Apr 03 16:28:06 GMT 2024","541","","Форма добавления активности","","","","Добавление активности",""
"passed","Wed Apr 03 16:28:09 GMT 2024","Wed Apr 03 16:28:09 GMT 2024","481","","Меню навигации","","","","Переход на страницу Timeline когда hash некорректен",""
"passed","Wed Apr 03 16:28:02 GMT 2024","Wed Apr 03 16:28:03 GMT 2024","724","","Работа с активностями","","","","Отображение активности в выпадающем списке временного интервала после добавления",""
"passed","Wed Apr 03 16:28:04 GMT 2024","Wed Apr 03 16:28:05 GMT 2024","460","","Форма добавления активности","","","","Отображение формы добавления активности",""
"passed","Wed Apr 03 16:28:06 GMT 2024","Wed Apr 03 16:28:06 GMT 2024","554","","Header","","","","При клике на logo должен быть выполнен переход на страницу timeline",""
"passed","Wed Apr 03 16:28:06 GMT 2024","Wed Apr 03 16:28:07 GMT 2024","544","","Header","","","","При клике на progress должен быть выполнен переход на стрнаицу progress",""
"passed","Wed Apr 03 16:28:05 GMT 2024","Wed Apr 03 16:28:05 GMT 2024","475","","Форма добавления активности","","","","Кнопка ""Add an activity"" доступна после заполнения поля",""
"passed","Wed Apr 03 16:28:08 GMT 2024","Wed Apr 03 16:28:09 GMT 2024","783","","Меню навигации","","","","Навигация по пунктам меню",""
"passed","Wed Apr 03 16:28:00 GMT 2024","Wed Apr 03 16:28:03 GMT 2024","3226","","Работа с активностями","","","","Сброс активности в интервале на странице ""Timeline"" после удалении активности",""
"passed","Wed Apr 03 16:28:07 GMT 2024","Wed Apr 03 16:28:08 GMT 2024","328","","Меню навигации","","","","Пункты меню должны иметь иконки",""
"passed","Wed Apr 03 16:28:10 GMT 2024","Wed Apr 03 16:28:10 GMT 2024","590","","Страница Timeline","","","","Выбор активности в текущем интервале",""
"passed","Wed Apr 03 16:28:07 GMT 2024","Wed Apr 03 16:28:07 GMT 2024","457","","Меню навигации","","","","Меню навигации должно иметь 3 пункта: Timeline, Activities, Progress",""
"passed","Wed Apr 03 16:28:04 GMT 2024","Wed Apr 03 16:28:04 GMT 2024","305","","Элемент активности на странице ""Activities""","","","","Отображение элемента ""Activity"" c указанием времени",""
"passed","Wed Apr 03 16:28:03 GMT 2024","Wed Apr 03 16:28:03 GMT 2024","322","","Элемент активности на странице ""Activities""","","","","Отображение элемента ""Activity"" без указания времени",""
"passed","Wed Apr 03 16:28:09 GMT 2024","Wed Apr 03 16:28:10 GMT 2024","532","","Страница Timeline","","","","Отображение списка интервалов на странице ""Timeline""",""
"passed","Wed Apr 03 16:28:02 GMT 2024","Wed Apr 03 16:28:02 GMT 2024","599","","Работа с активностями","","","","Удаление всех активностей",""
