"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 26 18:42:13 GMT 2024","Tue Mar 26 18:42:13 GMT 2024","480","","Меню навигации","","","","Меню навигации должно иметь 3 пункта: Timeline, Activities, Progress",""
"passed","Tue Mar 26 18:42:09 GMT 2024","Tue Mar 26 18:42:09 GMT 2024","345","","Элемент активности на странице ""Activities""","","","","Отображение элемента ""Activity"" без указания времени",""
"passed","Tue Mar 26 18:42:15 GMT 2024","Tue Mar 26 18:42:16 GMT 2024","499","","Меню навигации","","","","Переход на страницу Timeline когда hash некорректен",""
"passed","Tue Mar 26 18:42:10 GMT 2024","Tue Mar 26 18:42:10 GMT 2024","316","","Элемент активности на странице ""Activities""","","","","Отображение элемента ""Activity"" c указанием времени",""
"passed","Tue Mar 26 18:42:16 GMT 2024","Tue Mar 26 18:42:16 GMT 2024","564","","Страница Timeline","","","","Отображение списка интервалов на странице ""Timeline""",""
"passed","Tue Mar 26 18:42:10 GMT 2024","Tue Mar 26 18:42:11 GMT 2024","461","","Форма добавления активности","","","","Отображение формы добавления активности",""
"passed","Tue Mar 26 18:42:14 GMT 2024","Tue Mar 26 18:42:15 GMT 2024","827","","Меню навигации","","","","Навигация по пунктам меню",""
"passed","Tue Mar 26 18:42:16 GMT 2024","Tue Mar 26 18:42:17 GMT 2024","610","","Страница Timeline","","","","Выбор активности в текущем интервале",""
"passed","Tue Mar 26 18:42:08 GMT 2024","Tue Mar 26 18:42:09 GMT 2024","812","","Работа с активностями","","","","Отображение активности в выпадающем списке временного интервала после добавления",""
"passed","Tue Mar 26 18:42:11 GMT 2024","Tue Mar 26 18:42:11 GMT 2024","491","","Форма добавления активности","","","","Кнопка ""Add an activity"" доступна после заполнения поля",""
"passed","Tue Mar 26 18:42:06 GMT 2024","Tue Mar 26 18:42:09 GMT 2024","3074","","Работа с активностями","","","","Сброс активности в интервале на странице ""Timeline"" после удалении активности",""
"passed","Tue Mar 26 18:42:08 GMT 2024","Tue Mar 26 18:42:08 GMT 2024","597","","Работа с активностями","","","","Удаление всех активностей",""
"passed","Tue Mar 26 18:42:12 GMT 2024","Tue Mar 26 18:42:12 GMT 2024","557","","Header","","","","При клике на logo должен быть выполнен переход на страницу timeline",""
"passed","Tue Mar 26 18:42:12 GMT 2024","Tue Mar 26 18:42:13 GMT 2024","552","","Header","","","","При клике на progress должен быть выполнен переход на стрнаицу progress",""
"passed","Tue Mar 26 18:42:13 GMT 2024","Tue Mar 26 18:42:14 GMT 2024","330","","Меню навигации","","","","Пункты меню должны иметь иконки",""
"passed","Tue Mar 26 18:42:11 GMT 2024","Tue Mar 26 18:42:12 GMT 2024","550","","Форма добавления активности","","","","Добавление активности",""
